Museum_Name,Museum_ID,State
"AEROSPACE DISCOVERY AT FLORIDA AIR MUSEUM",8409500235,FL
"AEROSPACE HERITAGE FOUNDATION OF UTAH",8404900173,UT
"AEROSPACE HISTORICAL SOCIETY",8400602858,CA
"AEROSPACE MUSEUM OF CALIFORNIA FOUNDATION",8400602365,CA
"AEROSPACE RESOURCE CENTER",8403400396,NJ
"AFFTON HISTORICAL SOCIETY",8402900199,MO
"AFRICAN AMERCN MUSEUM RESOURCE CENTER",8403200152,NV
"AFRICAN AMERICAN ART AND CULTURAL SOCIETY",8404000224,OK
"AFRICAN AMERICAN ART AND CULTURE",8400600615,CA
"AFRICAN AMERICAN ATELIER",8403700129,NC
"AFRICAN AMERICAN CIVIL WAR MEMORIAL",8401100167,DC
"AFRICAN AMERICAN COLLECTION OF MAINE",8409501293,ME
"AFRICAN AMERICAN CULTURAL & HISTORICAL MUSEUM",8402600790,MI
"AFRICAN AMERICAN CULTURAL CENTER",8409501294,MD
"AFRICAN AMERICAN CULTURAL CENTER AND MUSEUM",8402200385,LA
"AFRICAN AMERICAN CULTURAL SOCIETY",8403200174,NV
"AFRICAN AMERICAN DIVERSITY CULTURAL CENTER HAWAII",8401500099,HI
"AFRICAN AMERICAN EDUCATION AND RESEARCH ORGANIZATION",8403700701,NC
"AFRICAN AMERICAN FIREFIGHTER HISTORICAL SOCIETY",8402400242,MD
"AFRICAN AMERICAN FIREFIGHTER MUSEUM",8400602851,CA
"AFRICAN AMERICAN GENEALOGICAL SOCIETY OF NORTHERN CALIFORINIA",8400602134,CA
"AFRICAN AMERICAN GENEALOGY GROUP",8404200769,PA
"AFRICAN AMERICAN GENEALOGY SOCIETY OF MILWAUKEE",8405500697,WI
"AFRICAN AMERICAN HERITAGE",8403400110,NJ
"AFRICAN AMERICAN HERITAGE ASSOCIATION",8400500106,AR
"AFRICAN AMERICAN HERITAGE CENTER",8402100216,KY
"AFRICAN AMERICAN HERITAGE FOUNDATION",8401900507,IA
"AFRICAN AMERICAN HERITAGE MUSEUM & BLACK VETERANS ARCHIVES",8401700902,IL
"AFRICAN AMERICAN HERITAGE MUSEUM HOME",8403700741,NC
